tweet,sentiment
"RT @gabrielacfernan: @RollingStone I was wondering how Mr.Reeves, felt about the movie &amp; now I know :) Good sport Keanu<U+2661> #PreviousTweetDele<U+0085>",0
"RT @hillarywait: Wait, there's a movie coming out called Keanu? Sometimes I think @itsgorby is just throwing her comedy ideas at the wall b<U+0085>",0
"Wait, there's a movie coming out called Keanu? Sometimes I think @itsgorby is just throwing her comedy ideas at the wall but this one stuck",0
RT @ajlobster: Off the see Keanu and Violet is very sad she can't come see a movie where she is reflected onscreen https://t.co/L3QqYlB4z2,0
Off the see Keanu and Violet is very sad she can't come see a movie where she is reflected onscreen https://t.co/L3QqYlB4z2,0
"Want To See This Kitten Movie: Keanu!: Looks like a really funny movie! Also, the kitten looks very cute! https://t.co/E9KRg7HPoT",1
"Just watched Keanu, this movie is hilarious and kay and peele were awesome! Plus the kitty was super cute~ &lt;3",1
I liked a @YouTube video https://t.co/LIVUWhL4TV Keanu - Movie Review,1
"Going to see ""Keanu"" tonight with bae , I know the movie is gonna be funny af",0
I liked a @YouTube video https://t.co/WG8xfyExc9 Keanu - Movie Review,1
Win movie passes to see the new comedy #Keanu! Enter at: https://t.co/dLTmzk7VcW #ad https://t.co/CqSoRyfGGO,0
The day Key &amp; Peele took over an Oakland cat cafe for 'Keanu' https://t.co/dH8clFJ6So #marketing,0
@methodman #Keanu was a great movie and meth as the bossman was perfect. #KeyandPeele better make another.,1
"Keanu' Movie's Obsession With George Michael 'A Golden Opportunity,' Says Singer's Manager - Billboard https://t.co/H1lTovT32n",0
KEANU MOVIE REVIEW: lmao u gotta see it,1
Keanu... NOT a movie to bring the kids to.,0
Finally saw #GreenRoomMovie... didn't expect to see Patrick Stewart in that roll. He nailed it. Good movie. Now it's #KEANU time.,1
Keanu the movie was pretty much exactly what I wanted it to be. Two thumbs up.,1
"@DeMarko @RegalMovies I actually want to a movie theater for the first time in 2-3 years, just to see Keanu",1
MOVIE REVIEW Might see #Keanu anyway. #nevertoomanykittens https://t.co/AmiHzlRyJg,1
I can't remember the last time I was this excited to see a movie @KeanuMovie #keanu https://t.co/og8BK3esDe,1
That movie Keanu is jokes <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>,0
What an awesome incredibly funny movie @JordanPeele @KeeganMKey #KEANU https://t.co/eE9hopoinz,1
#Keanu showed up at work this morning and brought me a coffee!! <U+2615><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B0><U+00B1> @keanumovie is out TODAY! This movie is classic<U+0085> https://t.co/BYmG9Er8tP,1
"#KEANU #KeanuMovie looks like it will be funny , don't all the movie #trailer look so . oh bullshit ! ima watch it anyways, movies are good!",0
from MW Daily News.. MOVIE REVIEW: 'Keanu' is not really the cat's meow: Comedy Central's Key and Peele in a ... https://t.co/1IhVThth2N,0
"Looking to see a movie this weekend???  @magic1067 has reviews courtesy of @Fandango...we think Keanu is a winner, plus we like kitties!",1
On a separate note.. Keanu was a LIT movie 10/10. Highly recommend,1
"I wanna see that movie ""Keanu""",0
"THREE AND A HALF STARS PEOPLE. #OscarsSoKeanu | 'Keanu' showcases kittens, comic potential https://t.co/yCotXzIaCq via @USATODAY @KeanuMovie",0
"Key and Peele's first movie, Keanu, has more than just that kitty. Our review: https://t.co/DJd0eN45l3 https://t.co/yyTmdssNtg",1
"@RollingStone I was wondering how Mr.Reeves, felt about the movie &amp; now I know :) Good sport Keanu<U+2661> #PreviousTweetDeleted :)",0
I thought #keanu was a joke and it's actually a movie!! Wtf haha,0
YOU WILL NOT SEE A MOVIE THIS YEAR BETTER THAN KEANU I'M LIKE PRETTY SURE,1
"https://t.co/jU1IF3v1wN Keanu Reeves voices Keanu the cat in a scene of Keanu, the Key and Peele movie, and I'm stupidly happy about it.",1
Guys not even gonna lie I really wanna see this new cat movie #Keanu <ed><U+00A0><U+00BD><ed><U+00B8><U+00BC>,0
#Boston Keanu Reeves Voices Keanu the Cat in the Movie Keanu; That<U+0092>s 3 ... https://t.co/phOnHXvMRP,1
"""KEANU"" Movie Pass + Prize Pack Giveaway https://t.co/FGvgi7CwOe #OluwaCurtisTweet",0
KEANU IS A MOVIE ABOUT A KITTEN LIKE DID THEY WRITE THAT FUCKING MOVIE FOR ME YESSS IMMA SEE IT WITH MY CAT DANNY,0
can i buy the keanu soundtrack yet? https://t.co/seBRRNVyYA,1
KEANU Key &amp; Peele Plush Doll And Movie Calendar *Not Available In Stores* - Bid Now! Only <U+0085> https://t.co/7JZZ4WqvWv https://t.co/QnRESXhyCk,1
I liked a @YouTube video https://t.co/Cn34wzqTRw Keanu - Movie Review,1
KEANU Key &amp; Peele Plush Doll And Movie Calendar *Not Available In Stores* - Bid Now! Only <U+0085> https://t.co/PFQ3qhmVoA https://t.co/hiiNNFLa03,1
KEANU Key &amp; Peele Plush Doll And Movie Calendar *Not Available In Stores* - Bid Now! Only <U+0085> https://t.co/EYixnQg6kK https://t.co/XkJp7JdnK5,1
KEANU Key &amp; Peele Plush Doll And Movie Calendar *Not Available In Stores* - Bid Now! Only <U+0085> https://t.co/nBtgJJ1t6Q https://t.co/IywIiD5Ve9,1
KEANU Key &amp; Peele Plush Doll And Movie Calendar *Not Available In Stores* - Bid Now! Only <U+0085> https://t.co/nBtgJJ1t6Q https://t.co/THYOA8Z95w,1
KEANU Key &amp; Peele Plush Doll And Movie Calendar *Not Available In Stores* - Bid Now! Only <U+0085> https://t.co/8GP4rQVDiS https://t.co/IVxXy6xMZv,1
KEANU Key &amp; Peele Plush Doll And Movie Calendar *Not Available In Stores* - Bid Now! Only <U+0085> https://t.co/YF5EonwDoR https://t.co/VmCbVEhX6U,1
KEANU Key &amp; Peele Plush Doll And Movie Calendar *Not Available In Stores* - Bid Now! Only <U+0085> https://t.co/QmQKJhyHow https://t.co/xS6VzH64iW,1
KEANU Key &amp; Peele Plush Doll And Movie Calendar *Not Available In Stores* - Bid Now! Only <U+0085> https://t.co/Ydw6KMydLH https://t.co/lrdaH8ZD9A,1
KEANU Key &amp; Peele Plush Doll And Movie Calendar *Not Available In Stores* - Bid Now! Only <U+0085> https://t.co/0XCvbtTWD8 https://t.co/QXHFywHIjI,1
KEANU Key &amp; Peele Plush Doll And Movie Calendar *Not Available In Stores* - Bid Now! Only <U+0085> https://t.co/0NmnlKW5S2 https://t.co/Wb6E3YByHV,1
KEANU Key &amp; Peele Plush Doll And Movie Calendar *Not Available In Stores* - Bid Now! Only <U+0085> https://t.co/xGOAGEyxVE https://t.co/GFPb3ygE56,1
KEANU Key &amp; Peele Plush Doll And Movie Calendar *Not Available In Stores* - Bid Now! Only <U+0085> https://t.co/XTID2Mk6Jj https://t.co/6iXJm70jXj,1
KEANU Key &amp; Peele Plush Doll And Movie Calendar *Not Available In Stores* - Bid Now! Only <U+0085> https://t.co/uSNv2G7WYW https://t.co/A2ETTnRwlt,1
KEANU Key &amp; Peele Plush Doll And Movie Calendar *Not Available In Stores* - Bid Now! Only <U+0085> https://t.co/DF9hAOb3yd https://t.co/4Ejo8upwZt,1
KEANU Key &amp; Peele Plush Doll And Movie Calendar *Not Available In Stores* - Bid Now! Only <U+0085> https://t.co/NSyroceZ8z https://t.co/CS3a6eayV3,1
KEANU Key &amp; Peele Plush Doll And Movie Calendar *Not Available In Stores* - Bid Now! Only <U+0085> https://t.co/9Qjxq7wCnB https://t.co/Z0uq9fkW7F,1
KEANU Key &amp; Peele Plush Doll And Movie Calendar *Not Available In Stores* - Bid Now! Only <U+0085> https://t.co/xAXcpArmzN https://t.co/admetYSds9,1
Keanu was a great movie <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>,1
"Movie 119/366: Bee Movie (07) **
120:Keanu (16) ***.5
121:The King of Comedy (82) *****
122: The One I Love (14) ****
#COTNOIRMOVIECHALLENGE",1
Going back to the movie theater 2 flirt #keanu,0
RT @jorelblu: KEANU - MOVIE REVIEW: https://t.co/6uYT8jHLYg via @YouTube,1
#keanu the dumbest movie ever<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>,0
#film Keanu Movie Review &amp; Film Summary (2016) | Roger Ebert... https://t.co/QwLQhlV6AR,0
Movie Review: KEANU https://t.co/vP00z3P1oB,1
"Celebrity Doctor Ranking the Hottest Cat Movie Stars, From Keanu to The Hunger Games - E! O... https://t.co/Ko7EtXhEyS Dr. Gary Rothfeld",0
"Ranking the Hottest Cat Movie Stars, From Keanu to The Hunger Games: File this under Under-appreciated Costar... https://t.co/SXSKD6FZTb",1
"RT @GlobalRetweeter: Ranking the Hottest Cat Movie Stars, From Keanu to The Hunger Games https://t.co/nIQsKdg32L",1
"Sorry But, Dumbest Movie EVER!!! #KEANU https://t.co/Jn4SWjcTnd",0
"Ranking the Hottest Cat Movie Stars, From Keanu to The Hunger Games: File this under<U+00A0>Under-appreciated<U+00A0>Costar... https://t.co/bgKTzwgZGN",1
"Insiders News Ranking the Hottest Cat Movie Stars, From Keanu to The Hunger Games https://t.co/LN2Nx4AIAO",1
"Ranking the Hottest Cat Movie Stars, From Keanu to The Hunger Games https://t.co/nIQsKdg32L",1
"Ranking the Hottest Cat Movie Stars, From Keanu to The Hunger Games: File this under Under-appreciated Costars... https://t.co/wZcB7FoYWD",1
"Ranking the Hottest Cat Movie Stars, From Keanu to The Hunger Games: File this under Under-appreciated Costars... https://t.co/CerfKBXNko",1
"Ranking the Hottest Cat Movie Stars, From Keanu to The Hunger Games https://t.co/876ohbqazH",1
"Ranking the Hottest Cat Movie Stars, From Keanu to The Hunger Games https://t.co/Doqupbl2w3",1
"Ranking the Hottest Cat Movie Stars, From Keanu to The Hunger Games https://t.co/vT4qL9WtSL",1
"Ranking the Hottest Cat Movie Stars, From Keanu to The Hunger Games https://t.co/qLbZQcAwY0",1
"Ranking the Hottest Cat Movie Stars, From Keanu to The Hunger Games: File this under Under-appreciated Costar... https://t.co/CHDWUCkUBK",1
@LolaPlusG have you seen the movie named Keanu <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>? I saw it. I loved it <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>. It was so funny <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>.,1
"RT: Catch up with @batemanjason's @TheFamilyFang one of #Tribeca2016's most impressive gems. https://t.co/lVX8XWTj2l 
@Tribeca LOVED!",1
"RT @Tribeca: Catch up with @batemanjason's THE FAMILY FANG, one of #Tribeca2016's most impressive gems. https://t.co/EKnyjGUklc https://t.c<U+0085>",1
"fun movie, that Keanu. glad I got to see and review it: 
https://t.co/BwJxnK9YiX",1
#mcm the duo Of #KEANU @jordanpeele and @keeganmic | Their first movie was released this weekend!!!!!... https://t.co/NKA8VGRehw,0
#mcm the duo Of #KEANU @jordanpeele and @keeganmkey | Their first movie was released this<U+0085> https://t.co/ea9MaOqNHT,1
"Just-released #movie #reviews, from @nytimes' @aoscott, @manohladargis &amp; alum @starksamantha  https://t.co/dA86Uo7vDc #KEANU",1
"Nothing wrong with a silly (slapstick violence) movie about an adorable kitten and the people who love him.

#KEANU #KeanuMovie #movies",0
"Catch up with @batemanjason's THE FAMILY FANG, one of #Tribeca2016's most impressive gems. https://t.co/EKnyjGUklc https://t.co/CuNCTE8xPR",1
@MartinShkreli did you go see the Keanu movie this weekend?,1
I liked a @YouTube video from @moviemaniac3d https://t.co/JyurbWdv6B Keanu Movie Review on The Final Cut,1
RT @RusticT13: I liked a @YouTube video from @jorelblu https://t.co/Fv9NIqwAqO KEANU - MOVIE REVIEW,1
"RT @AlamoNYC: Kitten, please. @KeyAndPeele remind us why you shouldn't talk or text during a movie. https://t.co/8zYnsFOy1S #KEANU https://<U+0085>",1
@KeanuMovie @methodman Great movie..KEANU..THE KITTEN IS A CUTIE..BUT MY VOTE IS FOR METH...STATEN ISLAND'S FINEST. METH BACK ON TOP.,1
"Keanu' Movie's Obsession With George Michael 'A Golden Opportunity,' Says Singer's Manager https://t.co/Y2oDErzyeN via @billboard",0
"#LaurenceFishburne The Matrix #DVD Movie ** Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss<U+0085> https://t.co/ibrY05WCgZ #TheMatrix #Morpheus",0
Keanu beat out the Ratchet and &amp; Clank movie... Why does this not surprise me?,0
RT @RollingStone: Key and Peele's #Keanu is the funniest cat movie this spring. Our review https://t.co/t5ihPCT3AO https://t.co/U9rROvP18H,1
Who wants to go see the movie Keanu. I think I may go check it out tonight.,0
"RT @ComplexMag: While 'Keanu' beat 'Mother's Day' on Friday, 'The Jungle Book' remains the number one movie at the box office. https://t.co<U+0085>",1
#nowplaying #movies 3. Keanu $9.4M: Play Trailers https://t.co/86LPL94BYR #movie #cinema #film,1
#NowWatching Keanu. The movie about the kitten. Not the actor from Parenthood and 47 Ronin. Those are his most famous roles.,0
"Got his DX wresting pose on. About to check this movie out.<ed><U+00A0><U+00BD><ed><U+00B8><U+008E><ed><U+00A0><U+00BD><ed><U+00B8><U+0083> #chriswwefan9
#keanu
#charkotapher<U+0085> https://t.co/JhUUu8UF8X",0
Been a while since I saw an R-rated movie. Couldn't think of a better one than Key &amp; Peele's Keanu. https://t.co/OWmOfJ9Kiq,1
"Movie News Box Office: 'The Jungle Book' Crushes 'Mother's Day,' 'Keanu' https://t.co/fCLLMwp3kP",1
#LaurenceFishburne The Matrix Revolutions 2003 Movie #DVD 2 Disc Set Keanu Reeves Laurence<U+0085> https://t.co/nXACvIKqGX #TheMatrix #Morpheus,0
"RT @JLCauvin: Larry Wilmore crossed the line, but I think it was just to balance out all the dollars that Key &amp; Peele's movie will make. #W<U+0085>",0
I liked a @YouTube video from @welivefilm https://t.co/FSix78a3ni Keanu Movie Review - Spoiler Saturdays,1
RT @indiewire: There are so many reasons to be optimistic about our moviegoing future. Our new podcast explains why: https://t.co/0LoeGtbmAL,1
RT @indiewire: Why movie theaters and the indie box office are healthier than you might think https://t.co/0LoeGsTLcb https://t.co/ejFYpfKq<U+0085>,1
RT @andjler: This movie was so fucking good #KEANU @KeeganMKey @JordanPeele  https://t.co/n60U8cM4Sp,1
This movie was so fucking good #KEANU @KeeganMKey @JordanPeele  https://t.co/n60U8cM4Sp,1
"#Keanu is a hilarious movie. Random as fuck but well catered toward today's audiences, featuring kittens so heavily and what not",1
#KEANU was the funniest movie I've seen in a long ass time. Great job @KeyAndPeele,1
RT @Tribeca: Who can resist a cute kitten that dodges bullets in slow-mo and dresses like 50 Cent? https://t.co/EKnyjGUklc #KEANU https://t<U+0085>,0
The movie Keanu is pretty good,1
"Anyone see the movie Keanu tonight? If so, thoughts? <ed><U+00AE><U+00BA><ed><U+00BE><U+0097> or <ed><U+00AE><U+00BA><ed><U+00BE><U+00A0>",0
"Larry Wilmore crossed the line, but I think it was just to balance out all the dollars that Key &amp; Peele's movie will make. #WHCD #Keanu",0
So the cast from the New movie Keanu said they would never work with that cat again. They said he was such a diva... https://t.co/Abxqzhx540,1
Movie time #Keanu,0
Just finished watching The Key &amp; Peele Movie AKA #Keanu. Funniest movie featuring a cute kitty cat ever!,1
The movie Keanu was so funny<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>,1
"The day Key &amp; Peele took over an Oakland cat cafe for 'Keanu': 
OAKLAND, Calif. <U+0097> What's better than Key &amp; Pe... https://t.co/SLRBwiZzZn",1
"While 'Keanu' beat 'Mother's Day' on Friday, 'The Jungle Book' remains the number one movie at the box office. https://t.co/sxn5Em3AQk",1
"RT @vulture: Keanu Reeves voices Keanu the cat in the movie #Keanu; that<U+0092>s 3 things called ""Keanu"" https://t.co/pz3DAS2aAn https://t.co/5kX<U+0085>",1
I liked a @YouTube video https://t.co/SMQEM6p3vL Keanu - Movie Review,1
"Saw Keanu, man, damn funny Movie, I enjoy the hell out of it!",1
"Penelope listening to my review of Keanu the movie 
#keanumovie #keanu #rescuecats #rescuekitty<U+0085> https://t.co/ZibumgMbDS",1
Keanu movie was so much fun and hilarious.#kittenplease,1
"RT @InStyle: As #KEANU hits theaters, 17 famous felines that lead the way for the latest leading cat: https://t.co/rI3bxdYJBO https://t.co/<U+0085>",1
KEANU was a movie made solely bc they wanted to take many pictures of a cute kitty,0
JUST SAW KEANU!!! Hilarious movie!!! <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+009D><ed><U+00A0><U+00BD><ed><U+00B0><U+0088> #KEANU,1
I liked a @YouTube video https://t.co/VuCN7im9TE Keanu - Movie Review,1
Celebrity Doctor KEANU's Key and Peele Are Excited to Be Action Movie Stars - Nerdist: Ente... https://t.co/8p5xefcll3 Dr. Gary Rothfeld,0
"Keanu' Movie's Obsession With George Michael 'A Golden Opportunity,' Says Singer's Manager https://t.co/xCMdzy90N9 via @billboard",0
Keanu': Kitten Comedy Has Plenty of Catnip to Chew On  - ABC News - https://t.co/iwN7dozJID via @ABCAWESOME FILM Even If U don'tLUVCATS,1
"RT @TheMovieSpot_: I think people take cinema too seriously. A movie like #Keanu can be successful and great, while also being mindlessly f<U+0085>",1
"Celebrities Attend 'Keanu' (in theaters now) #NYC Movie Screening @KeyAndPeele  @JordanPeele @KeeganMKey #movienight
https://t.co/K4h27hqjtk",0
Kitties litter the set of Key and Peele's 'Keanu' https://t.co/2RNvtPZbAR via @usatoday,0
Go see the movie #KEANU and laugh yourself silly on #Caturday https://t.co/rkyocBEi93,1
Definitely see Keanu. Good movie.,1
The day Key &amp; Peele took over an Oakland cat cafe for '#Keanu' https://t.co/wH1hTz95Yq #gosugurus https://t.co/0NfbyM3XZx,1
@Erica4NY Kitten-Cat lover? Fun movie  A Riot Lover-escape from politics TRUMP-go see *KEANU* PEELE&amp;KEY &amp; that KITTEN u Will ADORE -LAUGH,1
[Mashable] The day Key &amp; Peele took over an Oakland cat cafe for 'Keanu' https://t.co/7jKopitNSc,1
Movie Time With @nadinefattohi! #Keanu @ Amc Dine-In Theatre At Menlo Park Mall https://t.co/oy5XKK4EBB,1
Mashable: The day Key &amp; Peele took over an Oakland cat cafe for 'Keanu' https://t.co/bya0GHsJ8m,1
#Mashable The day Key &amp; Peele took over an Oakland cat cafe for 'Keanu' https://t.co/tZkaVcHyRO,1
The day Key &amp; Peele took over an Oakland cat cafe for 'Keanu' https://t.co/uSEP1dn1wC,0
The day Key &amp; Peele took over an Oakland cat cafe for 'Keanu' https://t.co/gU2aah4l4d,0
The day Key &amp; Peele took over an Oakland cat cafe for 'Keanu' https://t.co/zh9rVW7PJc,0
The day Key &amp; Peele took over an Oakland cat cafe for 'Keanu' https://t.co/NexTeO2vJf,0
"The day Key &amp; Peele took over an Oakland cat cafe for 'Keanu': 
OAKLAND, Calif. <U+0097> What's better than Key &amp; Pe... https://t.co/qNiS7CHqic",1
The day Key &amp; Peele took over an Oakland cat cafe for 'Keanu' https://t.co/QvAhyethYC,0
The day Key &amp; Peele took over an Oakland cat cafe for 'Keanu' https://t.co/sSx0FwRh23 via @mashable,1
"The day Key &amp; Peele took over an Oakland cat cafe for 'Keanu': 
OAKLAND, Calif. <U+0097> What's better than Key &amp; Pe... https://t.co/gRrPH1IDjf",1
"The day Key &amp; Peele took over an Oakland cat cafe for 'Keanu': 
OAKLAND, Calif. <U+0097> What's better than Key &amp; Pe... https://t.co/EvDR4WguJD",1
The day Key &amp; Peele took over an Oakland cat cafe for 'Keanu' https://t.co/Iu8FYYoahn,0
"The day Key &amp; Peele took over an Oakland cat cafe for 'Keanu': 
OAKLAND, Calif. <U+0097> What's better than Key &amp; Pe... https://t.co/WPRUys4ICu",1
"#mashable The day Key &amp; Peele took over an Oakland cat cafe for 'Keanu': 
OAKLAND, Calif. <U+0097> What's better tha... https://t.co/9WX8p9VK5Z",1
The day Key &amp; Peele took over an Oakland cat cafe for 'Keanu' https://t.co/jI6tHHIwG0,0
"@n__miami The day Key &amp; Peele took over an Oakland cat cafe for 'Keanu': 
OAKLAND, Calif. <U+0097> What's better tha... https://t.co/zk9a77rpjy",1
"The day Key &amp; Peele took over an Oakland cat cafe for 'Keanu': 
OAKLAND, Calif. <U+0097> What's better than Key &amp; Pe... https://t.co/fm2moeaPNQ",1
"The day Key &amp; Peele took over an Oakland cat cafe for 'Keanu': 
OAKLAND, Calif. <U+0097> What's better than Key &amp; Pe... https://t.co/rPVLyjtply",1
"The day Key &amp; Peele took over an Oakland cat cafe for 'Keanu': 
OAKLAND, Calif. <U+0097> What's better than Key &amp; Pe... https://t.co/7wGogrWMg1",1
#Watching #Movie #KEANU @ #AMC Empire 25 #TimesSquare #NYC. #JordanPeele #KeeganMichaelKey<U+0085> https://t.co/0ILXaEg5Zo,1
#Watching #Movie #KEANU @ #AMC Empire 25 #TimesSquare #NYC. #JordanPeele #KeeganMichaelKey<U+0085> https://t.co/zpT5qJdsgO,1
"Keanu, what a great movie to see on your birthday, so funny, I just laughed my ass off so hard https://t.co/39P7KX5fhm",1
Keanu review: Key and Peele (and a kitten) are very funny. They deserve a better movie. - Vox https://t.co/u1yDwv4Oam,1
My buddy @atrubens co-wrote the movie KEANU. It is in theaters now. Go see it. It rules. I promise. https://t.co/Vzd8NnOH8z,1
RT @Tribeca: Why @saulnier_jeremy's @GreenRoomMovie is a strong early contender for 2016's best thriller. https://t.co/EKnyjHbVcK https://t<U+0085>,1
The fact that keanu is a movie bothers me.  RT @THR: Box office: 'Keanu' beats 'Mother's Day' on Friday; 'Jungle Book' stays No. 1,1
"RT @alamogreaterny: In honor of Alien Day and KEANU, tell us who your favorite movie cat is. And see KEANU too! https://t.co/1AfsdtK843 htt<U+0085>",1
"In honor of Alien Day and KEANU, tell us who your favorite movie cat is. And see KEANU too! https://t.co/1AfsdtK843 https://t.co/vvcHBMvDsm",1
"Watch ""The Neon Demon Official Trailer #1 (2016) - Elle Fanning, Keanu Reeves Horror Movie HD"" on YouTube - https://t.co/wlZXsW5j4u",1
when your friend watches a movie and starts acting different... #gangstakitty #gangstacat #KEANU https://t.co/hUeFWnFPeS,0
RT @LaughingSquid: Key &amp; Peele Talk About Their New Movie Keanu While Eating Increasingly Spicy Hot Wings https://t.co/u0lq3x20ab https://t<U+0085>,1
I liked a @YouTube video https://t.co/fzAlIgaYXO Keanu - Movie Review,1
RT @GregoireNYC: I loved the movie #KEANU because I love Key and Peele and I love kittens. There was a middle section w. no kittens and tha<U+0085>,0
there is no fucking way 'keanu' is a good movie,1
"Lmaoo I saw the @KeanuMovie , I also think any cat lover would appreciate this movie #KEANU <ed><U+00A0><U+00BD><ed><U+00B8><U+00BC><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>",1
"This week was my happy go lucky week. Saw and played Ratchet &amp; Clank, then laughed uncontrollably during Keanu. A movie night well spent",1
"This movie was too funny (@ Regal Cinemas Battery Park 11 - @regalmovies for Keanu in New York, NY) https://t.co/vWDhsSKftq",0
I loved the movie #KEANU because I love Key and Peele and I love kittens. There was a middle section w. no kittens and that was the worst.,0
